time,signal,confidence,entry,stop,tp1,outcome,exit,r
2026-05-05 20:00:00-04:00,BUY,HIGH,4602.2,4588.45,4611.37,TP1,4611.37,0.667
2026-05-05 21:00:00-04:00,BUY,HIGH,4622.3,4607.25,4632.34,TP1,4632.34,0.667
2026-05-05 22:00:00-04:00,BUY,HIGH,4643.8,4629.19,4653.54,TP1,4653.54,0.667
2026-05-05 23:00:00-04:00,BUY,HIGH,4657.5,4643.22,4667.02,TP1,4667.02,0.667
2026-05-06 00:00:00-04:00,BUY,HIGH,4657.8,4644.68,4666.54,TP1,4666.54,0.667
2026-05-06 01:00:00-04:00,BUY,HIGH,4665.6,4653.07,4673.95,TP1,4673.95,0.667
2026-05-06 02:00:00-04:00,BUY,HIGH,4671.6,4658.74,4680.17,TP1,4680.17,0.667
2026-05-06 03:00:00-04:00,BUY,HIGH,4669.7,4656.56,4678.46,TP1,4678.46,0.667
2026-05-06 04:00:00-04:00,BUY,HIGH,4691.4,4677.84,4700.44,TP1,4700.44,0.667
2026-05-06 05:00:00-04:00,BUY,HIGH,4706.3,4690.42,4716.89,TP1,4716.89,0.667
2026-05-06 06:00:00-04:00,BUY,HIGH,4710.6,4694.7,4721.2,TP1,4721.2,0.667
2026-05-06 07:00:00-04:00,BUY,HIGH,4723.6,4707.07,4734.62,SL,4707.07,-1.0
2026-05-06 08:00:00-04:00,BUY,HIGH,4684.8,4666.26,4697.16,TP1,4697.16,0.667
2026-05-06 09:00:00-04:00,BUY,HIGH,4694.2,4673.74,4707.84,TP1,4707.84,0.667
2026-05-06 10:00:00-04:00,BUY,HIGH,4722.3,4701.1,4736.43,SL,4701.1,-1.0
2026-05-06 11:00:00-04:00,BUY,HIGH,4708.1,4687.67,4721.72,TP1,4721.72,0.667
2026-05-06 12:00:00-04:00,BUY,HIGH,4695.2,4676.95,4707.37,TP1,4707.37,0.667
2026-05-06 13:00:00-04:00,BUY,HIGH,4696.3,4679.7,4707.36,TP1,4707.36,0.667
2026-05-06 14:00:00-04:00,BUY,HIGH,4697.7,4683.41,4707.22,TP1,4707.22,0.667
2026-05-06 15:00:00-04:00,BUY,HIGH,4706.3,4693.49,4714.84,TP1,4714.84,0.667
2026-05-06 16:00:00-04:00,BUY,HIGH,4709.3,4697.47,4717.18,SL,4697.47,-1.0
2026-05-06 18:00:00-04:00,BUY,HIGH,4706.5,4694.86,4714.26,SL,4694.86,-1.0
2026-05-06 19:00:00-04:00,BUY,HIGH,4703.4,4692.75,4710.5,TP1,4710.5,0.667
2026-05-06 20:00:00-04:00,BUY,HIGH,4709.0,4698.28,4716.14,SL,4698.28,-1.0
2026-05-06 21:00:00-04:00,BUY,HIGH,4718.7,4705.78,4727.32,TP1,4727.32,0.667
2026-05-06 22:00:00-04:00,BUY,HIGH,4712.6,4697.89,4722.4,TP1,4722.4,0.667
2026-05-06 23:00:00-04:00,BUY,HIGH,4714.9,4701.64,4723.74,SL,4701.64,-1.0
2026-05-07 00:00:00-04:00,BUY,HIGH,4705.5,4694.06,4713.13,TP1,4713.13,0.667
2026-05-07 01:00:00-04:00,BUY,HIGH,4709.1,4698.59,4716.1,TP1,4716.1,0.667
2026-05-07 02:00:00-04:00,BUY,HIGH,4716.7,4705.66,4724.06,TP1,4724.06,0.667
2026-05-07 03:00:00-04:00,BUY,HIGH,4759.4,4743.85,4769.77,SL,4743.85,-1.0
2026-05-07 04:00:00-04:00,BUY,HIGH,4752.3,4737.07,4762.45,SL,4737.07,-1.0
2026-05-07 05:00:00-04:00,BUY,HIGH,4743.9,4728.71,4754.02,TP1,4754.02,0.667
2026-05-07 06:00:00-04:00,BUY,HIGH,4744.0,4729.3,4753.8,TP1,4753.8,0.667
2026-05-07 07:00:00-04:00,BUY,HIGH,4739.9,4725.67,4749.39,TP1,4749.39,0.667
2026-05-07 08:00:00-04:00,BUY,HIGH,4753.5,4739.74,4762.68,TP1,4762.68,0.667
2026-05-07 09:00:00-04:00,BUY,HIGH,4743.0,4727.17,4753.55,TP1,4753.55,0.667
2026-05-07 10:00:00-04:00,BUY,HIGH,4762.0,4745.03,4773.31,TP1,4773.31,0.667
2026-05-07 11:00:00-04:00,BUY,HIGH,4765.3,4747.6,4777.1,SL,4747.6,-1.0
2026-05-07 12:00:00-04:00,BUY,MEDIUM,4724.8,4701.69,4740.21,SL,4701.69,-1.0
2026-05-07 13:00:00-04:00,SELL,HIGH,4724.3,4745.83,4709.95,TP1,4709.95,0.667
2026-05-07 13:30:00-04:00,BUY,MEDIUM,4709.8,4686.6,4725.27,TP1,4725.27,0.667
2026-05-07 14:30:00-04:00,BUY,HIGH,4715.4,4694.1,4729.6,SL,4694.1,-1.0
2026-05-07 15:30:00-04:00,BUY,HIGH,4718.5,4698.26,4731.99,SL,4698.26,-1.0
2026-05-07 16:30:00-04:00,BUY,HIGH,4713.8,4693.95,4727.03,SL,4693.95,-1.0
2026-05-07 16:45:00-04:00,SELL,HIGH,4696.0,4716.66,4682.23,TP1,4682.23,0.667
