time,signal,confidence,adx_30m,entry,stop,tp1,outcome,exit,r
2026-05-06 16:00:00-04:00,BUY,HIGH,26.9,4709.3,4696.67,4734.55,SL,4696.67,-1.0
2026-05-06 18:00:00-04:00,BUY,HIGH,25.1,4706.5,4694.27,4730.95,SL,4694.27,-1.0
2026-05-06 19:30:00-04:00,BUY,MEDIUM,22.7,4702.6,4691.33,4725.14,TP1,4725.14,2.0
2026-05-06 21:00:00-04:00,BUY,MEDIUM,20.8,4718.7,4706.18,4743.74,SL,4706.18,-1.0
2026-05-06 22:30:00-04:00,BUY,MEDIUM,22.8,4712.6,4699.5,4738.79,TP1,4738.79,2.0
2026-05-07 00:00:00-04:00,BUY,MEDIUM,22.2,4705.5,4693.87,4728.76,TP1,4728.76,2.0
2026-05-07 02:00:00-04:00,BUY,MEDIUM,20.7,4716.7,4705.16,4739.78,TP1,4739.78,2.0
2026-05-07 03:30:00-04:00,BUY,HIGH,27.4,4752.6,4739.4,4779.0,SL,4739.4,-1.0
2026-05-07 05:00:00-04:00,BUY,HIGH,32.1,4743.9,4730.11,4771.47,TP1,4771.47,2.0
2026-05-07 06:30:00-04:00,BUY,HIGH,33.9,4748.3,4734.9,4775.09,TP1,4775.09,2.0
2026-05-07 08:00:00-04:00,BUY,HIGH,36.3,4753.5,4740.33,4779.85,SL,4740.33,-1.0
2026-05-07 09:30:00-04:00,BUY,HIGH,38.6,4758.4,4744.05,4787.09,SL,4744.05,-1.0
2026-05-07 11:00:00-04:00,BUY,HIGH,41.3,4765.3,4750.72,4794.45,SL,4750.72,-1.0
2026-05-07 16:00:00-04:00,BUY,HIGH,40.1,4721.3,4703.45,4756.99,SL,4703.45,-1.0
2026-05-07 19:30:00-04:00,BUY,HIGH,43.3,4706.5,4687.79,4743.92,TP1,4743.92,2.0
2026-05-07 21:00:00-04:00,BUY,HIGH,40.9,4722.5,4704.4,4758.7,TP1,4758.7,2.0
2026-05-07 22:30:00-04:00,BUY,HIGH,35.2,4719.1,4701.17,4754.96,TP1,4754.96,2.0
2026-05-08 00:00:00-04:00,BUY,HIGH,30.3,4723.5,4706.83,4756.83,SL,4706.83,-1.0
2026-05-08 01:30:00-04:00,BUY,HIGH,26.1,4733.3,4717.77,4764.35,SL,4717.77,-1.0
2026-05-08 03:00:00-04:00,BUY,MEDIUM,23.8,4724.3,4707.54,4757.81,SL,4707.54,-1.0
2026-05-08 04:30:00-04:00,BUY,MEDIUM,22.8,4726.6,4710.75,4758.3,SL,4710.75,-1.0
